"zipcode","latitude","longitude"
"02989-095",-23.5489,-46.6388
"94010-020",-29.9448,-50.9922
"18095-340",-23.4889,-47.4464
"18460-000",-24.1051,-49.343
"79331-010",-18.9998,-57.6582
"49160-000",-10.8529,-37.1453
"12940-640",-23.1143,-46.5544
"37800-000",-21.3102,-46.7127
"13054-000",-22.9655,-47.1333
"13318-000",-23.3058,-47.1319
"71693-103",-15.9159,-47.7613
"12281-350",-23.102,-45.7069
"15360-000",-20.6917,-50.9225
"87302-190",-24.043,-52.3849
"95360-000",-28.5963,-51.7867
"35900-002",-19.6657,-43.2121
"69083-310",-3.10641,-60.0264
"26210-000",-22.7598,-43.4516
"89203-570",-26.3145,-48.8508
"89204-040",-26.2947,-48.8498
"72876-084",-16.0717,-47.9777
"86945-000",-23.8566,-51.8494
"69058-030",-3.10641,-60.0264
"79750-000",-22.2515,-53.3498
"14680-000",-21.018,-47.7645
"01012-010",-23.5477,-46.6356
"15910-000",-21.2616,-48.4966
"13715-000",-21.7345,-46.9707
"84165-680",-26.3009,-48.8428
"84010-360",-25.0983,-50.157
"84240-000",-24.5398,-49.9278
"88380-000",-26.7662,-48.6704
"83030-500",-25.536,-49.2079
"01502-001",-23.562,-46.6388
"35450-000",-20.254,-43.8033
"08674-230",-23.5431,-46.3144
"14701-020",-20.9545,-48.4801
"86730-000",-23.2248,-51.6631
"78700-170",-15.6478,-56.1332
"79021-002",-20.4509,-54.5882
"23970-000",-23.0171,-44.5394
"18120-000",-23.5469,-47.1841
"73700-000",-15.3545,-48.5106
"06721-100",-23.6833,-47.0333
"95940-000",-29.4042,-51.9412
"13480-732",-22.5622,-47.4134
"13480-376",-22.5753,-47.3937
"06850-100",-23.7149,-46.8494
"98590-000",-27.8506,-53.776
"76420-000",-14.4578,-48.4663
"07770-000",-23.4098,-46.8363
"18480-970",-23.7155,-49.491
"05690-040",-23.6155,-46.704
"92990-000",-30.0882,-51.6245
"18950-000",-23.0566,-49.6208
"13092-305",-22.8985,-47.0298
"23890-000",-22.7414,-43.7053
"37472-000",-22.1055,-45.1454
"35606-000",-19.3228,-45.2462
"03527-000",-23.577,-46.5114
"65975-000",-5.78333,-43.25
"18682-050",-22.5968,-48.8119
"95750-000",-29.4409,-51.5079
"78043-152",-15.5948,-56.1185
"15920-000",-21.1641,-48.6386
"13930-000",-22.6101,-46.7025
"35700-312",-19.4673,-44.2501
"99400-000",-28.7244,-52.8449
"23900-370",-23.0054,-44.3197
"06803-000",-23.6492,-46.8526
"54410-010",-8.17083,-34.9158
"06330-000",-23.5192,-46.8367
"70650-400",-15.7928,-47.9399
"70660-685",-15.7801,-47.9292
