"code","latitude","longitude"
23601,-20.2834,-50.2466
23603,-22.8434,-47.6072
23606,-20.4832,-54.6398
23655,-22.8216,-47.2664
23670,-3.73506,-38.5612
23674,-3.7986,-38.5707
23675,-3.79621,-38.4886
23726,-23.5264,-49.2442
23727,-27.0723,-53.158
23745,-29.3391,-49.727
23756,-29.6014,-52.1941
23762,-19.9454,-43.9195
23815,-20.2865,-40.2966
23831,-30.0492,-51.1853
23833,-21.2526,-48.325
23835,-22.2751,-46.1662
23844,-19.9691,-44.2023
23853,-23.4326,-45.0698
23887,-20.4666,-54.5848
23892,-22.9071,-47.0632
23896,-20.3501,-40.2857
23907,-23.1703,-45.8918
23922,-14.1352,-39.7351
23929,-31.7711,-52.3431
23931,-28.6783,-49.3704
23933,-28.8517,-51.2767
23986,-22.736,-47.6397
23988,-28.7095,-49.3021
23991,-8.03707,-34.9198
24000,-23.5489,-46.6388
24009,-22.8648,-43.253
24012,-16.716,-49.2726
24013,-16.7389,-49.2649
24031,-22.7015,-46.7688
24038,-21.1203,-42.948
24045,-16.4664,-54.6329
24068,-10.9145,-37.6639
24074,-23.5501,-46.4978
24075,-23.5489,-46.6388
24078,-21.3607,-48.2282
24121,-23.2986,-45.9679
24135,-23.761,-45.4121
24137,-0.832359,-52.4104
24143,-20.3653,-43.2147
24163,-23.7641,-53.3184
24207,-28.0713,-52.0143
24209,-23.5078,-46.5988
24214,-28.5687,-51.9728
24215,-23.5489,-46.6388
24219,-23.7852,-53.0734
24221,-29.5841,-51.0869
24240,-23.3184,-46.5872
24245,-21.9796,-46.7975
24248,-20.6313,-49.6577
24256,-23.5749,-46.707
24264,-19.9775,-44.0195
24265,-21.7583,-48.8284
24266,-19.4041,-40.0648
24272,-20.3409,-40.3829
24300,-22.4705,-43.8268
24301,-23.5931,-46.7341
24315,-8.75809,-63.9035
24322,-19.9821,-43.9442
24325,-8.75093,-63.8961
24330,-22.8073,-45.1913
24333,-27.4742,-53.1706
24337,-23.3358,-46.8401
24390,-27.1161,-49.9982
24394,-27.2766,-48.85
24404,-22.8773,-47.0524
24424,-19.9301,-43.9523
24466,-22.939,-47.1075
24488,-23.5687,-46.6585
24492,-10.4418,-45.1645
24498,-22.0743,-48.7402
24502,-28.5989,-49.4254
24509,-28.6604,-49.4711
24510,-28.748,-49.4729
24534,-28.2871,-52.7928
24546,-25.4667,-49.2998
24547,-25.4105,-49.2537
24548,-22.7128,-47.6365
24566,-22.7272,-45.1199
24573,-22.7267,-47.3247
24574,-12.3531,-38.3801
24587,-21.2042,-47.7755
24595,-21.1789,-47.7882
24624,-21.904,-47.6199
24643,-23.5063,-46.8756
24653,-20.5123,-43.7153
24656,-25.4457,-49.2832
24657,-25.4359,-49.2981
24659,-25.4155,-49.3506
24660,-25.4513,-49.2297
24690,-22.6607,-50.412
24720,-21.7768,-43.3483
24721,-21.6891,-43.4344
24724,-19.9357,-44.0495
24746,-27.0947,-48.9189
24750,-23.5771,-46.7415
24761,-26.2099,-48.9084
24763,-22.2271,-49.9622
24773,-22.9831,-43.2245
24776,-27.6012,-48.473
24777,-23.4855,-51.7927
24840,-20.72,-47.888
24844,-29.589,-51.3768
24856,-23.5414,-46.5735
24865,-22.8556,-47.0481
24866,-21.0912,-48.6556
24894,-3.07385,-60.0271
24898,-28.2405,-48.6703
24922,-8.08816,-34.908
24930,-16.0084,-49.7962
24939,-23.5303,-46.903
24940,-23.5316,-51.4367
24951,-23.7425,-46.5567
24984,-15.7406,-47.8564
24986,-23.4467,-46.919
25050,-21.4329,-45.9496
25058,-12.9343,-38.3712
25068,-22.9096,-47.0449
25124,-23.6481,-46.4379
25134,-5.87278,-35.1809
25141,-19.6912,-44.8965
25148,-19.7904,-42.1393
25191,-20.6417,-50.3616
25256,-16.7664,-49.2917
25259,-16.1144,-47.9372
25273,-22.2127,-49.6604
25299,-29.6307,-50.8257
25303,-18.9542,-49.4648
25304,-23.6055,-47.0262
25338,-18.9193,-48.2803
25366,-16.7129,-49.2478
25369,-22.9071,-47.0632
25371,-5.25429,-38.1247
25372,-22.9233,-53.1364
25455,-25.4169,-49.2647
25460,-17.3441,-44.9409
25461,-22.7311,-47.317
25462,-27.5871,-48.5794
25510,-22.9305,-47.0359
25551,-23.4071,-46.7586
25552,-23.5489,-46.6388
25555,-29.9448,-50.9922
25556,-23.4889,-47.4464
25570,-24.1051,-49.343
25616,-18.9998,-57.6582
25618,-10.8529,-37.1453
25635,-23.1143,-46.5544
25638,-21.3102,-46.7127
25658,-22.9655,-47.1333
25659,-23.3058,-47.1319
25660,-15.9159,-47.7613
25720,-23.102,-45.7069
25721,-20.6917,-50.9225
25722,-24.043,-52.3849
25772,-28.5963,-51.7867
25773,-19.6657,-43.2121
25778,-3.10641,-60.0264
25783,-22.7598,-43.4516
25801,-26.3145,-48.8508
25802,-26.2947,-48.8498
25806,-16.0717,-47.9777
25808,-23.8566,-51.8494
25809,-3.10641,-60.0264
25817,-22.2515,-53.3498
25836,-21.018,-47.7645
25848,-23.5477,-46.6356
25863,-21.2616,-48.4966
25888,-21.7345,-46.9707
25910,-26.3009,-48.8428
25911,-25.0983,-50.157
25912,-24.5398,-49.9278
25922,-26.7662,-48.6704
25930,-25.536,-49.2079
25932,-23.562,-46.6388
25936,-20.254,-43.8033
25939,-23.5431,-46.3144
25946,-20.9545,-48.4801
25951,-23.2248,-51.6631
26005,-15.6478,-56.1332
26006,-20.4509,-54.5882
26017,-23.0171,-44.5394
26021,-23.5469,-47.1841
26032,-15.3545,-48.5106
26045,-23.6833,-47.0333
26046,-29.4042,-51.9412
26047,-22.5622,-47.4134
26048,-22.5753,-47.3937
26054,-23.7149,-46.8494
26055,-27.8506,-53.776
26058,-14.4578,-48.4663
26059,-23.4098,-46.8363
26063,-23.7155,-49.491
26065,-23.6155,-46.704
26113,-30.0882,-51.6245
26417,-23.0566,-49.6208
32826,-22.8985,-47.0298
32831,-22.7414,-43.7053
32834,-22.1055,-45.1454
32837,-19.3228,-45.2462
32841,-23.577,-46.5114
32842,-5.78333,-43.25
32843,-22.5968,-48.8119
32844,-29.4409,-51.5079
32847,-15.5948,-56.1185
32848,-21.1641,-48.6386
32849,-22.6101,-46.7025
32851,-19.4673,-44.2501
32853,-28.7244,-52.8449
32872,-23.0054,-44.3197
32880,-23.6492,-46.8526
32881,-8.17083,-34.9158
32886,-23.5192,-46.8367
32887,-15.7928,-47.9399
32888,-15.7801,-47.9292
32889,-15.8006,-47.9255
32897,-21.4211,-50.0728
32927,-21.2264,-43.774
32931,-25.7803,-53.5436
32932,-23.6521,-47.2213
32933,-15.9436,-48.2551
32942,-22.9204,-47.0853
32951,-20.2682,-50.5489
32952,-25.4691,-50.6496
32957,-9.42452,-40.4984
32959,-8.13145,-34.9037
32971,-8.04084,-34.8948
32973,-24.562,-54.0623
32979,-23.623,-46.5369
32982,-22.776,-43.3627
32983,-23.1791,-45.8872
32993,-22.4797,-46.636
32994,-21.1326,-46.4159
32999,-17.3141,-53.2153
33004,-13.851,-40.0812
33007,-15.8705,-47.9686
33020,-22.8229,-43.0028
33026,-15.6333,-47.8167
33027,-22.4939,-41.9171
33028,-22.3786,-41.7779
33032,-21.0941,-45.5746
33034,-24.0059,-53.7055
33087,-20.9646,-49.0282
33094,-20.2564,-42.0325
33100,-26.4261,-49.2433
33106,-18.7573,-44.4296
41284,-29.3006,-51.5047
33124,-28.3885,-53.912
33127,-15.5798,-54.2289
33132,-22.743,-46.8943
33133,-14.5172,-40.3787
33134,-27.4994,-54.0993
33142,-25.4341,-49.2674
33155,-22.8787,-42.0199
33160,-20.7598,-51.6951
33164,-22.8988,-43.2771
33174,-19.3936,-54.5635
33184,-12.8938,-38.3275
33186,-22.4269,-45.453
33187,-20.3141,-40.307
33188,-20.1065,-40.1785
33190,-22.7919,-43.3031
33191,-22.9227,-43.2649
33192,-25.8189,-48.5414
33195,-22.5311,-55.7299
33225,-21.8281,-47.2514
33228,-23.0069,-47.1363
33231,-27.64,-48.6666
33238,-23.5993,-46.5378
33255,-15.9064,-47.8625
33281,-21.2453,-48.8051
33295,-22.2832,-48.127
33300,-23.53,-46.6361
33302,-15.6692,-58.0853
33303,-22.9638,-43.0489
33307,-22.9184,-42.8185
33308,-22.8807,-42.0226
33309,-22.8362,-42.1037
33310,-22.9191,-42.8183
33311,-22.7744,-41.9151
33312,-22.7727,-43.3416
33313,-22.9011,-43.1025
33339,-25.347,-54.2391
33346,-21.5964,-48.8111
33348,-22.3691,-48.3804
33349,-16.689,-49.2703
33362,-29.7637,-50.0192
33374,-27.2405,-48.6344
33376,-25.8554,-52.5297
33381,-27.7729,-51.5943
33401,-21.6757,-42.0818
33404,-14.1973,-39.5127
33408,-22.9605,-45.5407
33419,-24.7299,-48.1028
33425,-29.4419,-51.1381
33428,-25.5362,-49.1792
33433,-22.153,-42.9253
33434,-22.7855,-43.3079
